Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
91764,433.77,270.29,0.78,93480.00,0.69,1165.08,Kecimen
79252,398.84,254.17,0.77,80799.00,0.71,1074.11,Kecimen
50530,328.92,198.28,0.80,52600.00,0.68,897.80,Kecimen
66063,354.10,238.51,0.74,67503.00,0.76,971.94,Kecimen
73311,391.87,239.60,0.79,74825.00,0.69,1046.52,Kecimen
82793,428.12,249.39,0.81,84950.00,0.74,1130.67,Kecimen
104921,452.86,297.02,0.75,108211.00,0.73,1254.86,Kecimen
59654,350.90,219.49,0.78,62384.00,0.71,979.73,Kecimen
76531,407.67,241.40,0.81,78857.00,0.73,1068.38,Kecimen
57438,344.98,215.43,0.78,58924.00,0.69,935.82,Kecimen
55129,336.02,210.43,0.78,56855.00,0.75,910.84,Kecimen
37302,284.33,170.53,0.80,39280.00,0.72,761.13,Kecimen
58357,338.32,220.46,0.76,59383.00,0.74,915.38,Kecimen
33615,254.47,171.00,0.74,35376.00,0.79,719.94,Kecimen
47555,330.90,186.25,0.83,50165.00,0.68,873.84,Kecimen
71762,387.67,236.87,0.79,73593.00,0.70,1038.74,Kecimen
84677,401.67,269.67,0.74,86777.00,0.75,1119.00,Kecimen
86421,367.17,300.79,0.57,87929.00,0.75,1080.01,Kecimen
90191,431.37,272.75,0.77,93719.00,0.63,1179.37,Kecimen
34638,251.74,178.34,0.71,35824.00,0.75,713.94,Kecimen
39275,274.07,185.41,0.74,40747.00,0.71,772.50,Kecimen
41458,281.82,192.67,0.73,42792.00,0.68,782.36,Kecimen
85954,405.92,272.08,0.74,87690.00,0.71,1104.72,Kecimen
56589,343.93,213.13,0.78,58274.00,0.66,931.45,Kecimen
39622,280.11,185.19,0.75,40539.00,0.73,766.53,Kecimen
48093,329.94,187.04,0.82,49367.00,0.75,858.39,Kecimen
67404,349.01,247.69,0.70,69607.00,0.75,997.28,Kecimen
57838,350.29,214.80,0.79,59449.00,0.67,939.15,Kecimen
58570,355.40,214.57,0.80,60494.00,0.66,962.71,Kecimen
60199,375.28,205.41,0.84,61711.00,0.74,971.19,Kecimen
74254,402.53,241.28,0.80,76702.00,0.73,1080.03,Kecimen
63718,407.57,200.26,0.87,65950.00,0.72,1023.06,Kecimen
28216,245.40,150.25,0.79,30316.00,0.62,683.00,Kecimen
79055,395.37,258.28,0.76,82562.00,0.72,1114.49,Kecimen
86141,414.11,266.91,0.76,87883.00,0.72,1146.16,Kecimen
82873,449.41,239.61,0.85,85648.00,0.70,1148.36,Kecimen
98485,387.76,325.74,0.54,100682.00,0.73,1193.91,Kecimen
53633,313.48,218.67,0.72,55147.00,0.73,882.67,Kecimen
63191,335.24,243.97,0.69,64898.00,0.70,977.10,Kecimen
58545,325.19,231.96,0.70,60738.00,0.70,966.76,Kecimen
68931,381.67,231.53,0.79,71336.00,0.68,1067.69,Kecimen
67874,360.02,243.27,0.74,69889.00,0.68,1035.28,Kecimen
61200,323.17,246.29,0.65,64553.00,0.71,997.26,Kecimen
87089,396.49,280.25,0.71,88754.00,0.74,1154.56,Kecimen
59589,383.57,201.38,0.85,62974.00,0.68,1043.19,Kecimen
50312,354.24,182.31,0.86,52070.00,0.62,961.44,Kecimen
41995,259.21,210.35,0.58,43443.00,0.73,801.53,Kecimen
137583,649.54,273.26,0.91,142650.00,0.73,1590.35,Besni
117592,533.29,288.56,0.84,123587.00,0.73,1432.01,Besni
95546,487.18,251.96,0.86,99166.00,0.72,1276.81,Besni
96582,446.71,278.33,0.78,100113.00,0.71,1216.98,Besni
61409,403.70,209.37,0.86,67286.00,0.60,1083.48,Besni
154242,585.93,337.60,0.82,158371.00,0.72,1530.32,Besni
134303,600.77,288.38,0.88,138133.00,0.74,1497.52,Besni
112378,528.40,272.78,0.86,115602.00,0.61,1366.74,Besni
124579,439.96,371.03,0.54,128307.00,0.70,1373.54,Besni
83107,507.38,233.15,0.89,93706.00,0.49,1367.33,Besni
107178,508.75,270.46,0.85,110611.00,0.63,1325.95,Besni
64391,449.56,187.12,0.91,68813.00,0.63,1177.71,Besni
126781,659.44,249.54,0.93,132802.00,0.74,1552.54,Besni
45051,323.59,180.07,0.83,46532.00,0.83,836.63,Besni
119026,612.74,250.93,0.91,123463.00,0.62,1486.77,Besni
67579,402.31,217.06,0.84,70809.00,0.70,1051.55,Besni
97019,559.60,228.64,0.91,101539.00,0.57,1383.65,Besni
184784,740.11,320.59,0.90,192699.00,0.65,1791.57,Besni
168276,656.10,328.49,0.87,174282.00,0.68,1685.28,Besni
195383,755.01,335.79,0.90,204472.00,0.73,1893.41,Besni
65253,419.00,205.76,0.87,69700.00,0.67,1075.40,Besni
120255,471.81,326.55,0.72,123486.00,0.72,1322.81,Besni
108161,485.10,286.03,0.81,111765.00,0.71,1305.14,Besni
157877,613.87,328.31,0.84,161901.00,0.64,1604.10,Besni
83800,440.83,245.38,0.83,86346.00,0.66,1170.09,Besni
177264,619.96,366.76,0.81,180994.00,0.68,1652.69,Besni
127245,530.30,309.12,0.81,130649.00,0.68,1424.00,Besni
108314,455.61,311.17,0.73,112497.00,0.69,1306.58,Besni
128947,572.80,289.02,0.86,132108.00,0.60,1446.92,Besni
189637,636.75,403.72,0.77,209580.00,0.61,1870.28,Besni
137508,604.11,292.10,0.88,141818.00,0.60,1529.79,Besni
75173,365.80,267.58,0.68,78359.00,0.68,1087.03,Besni
115859,488.49,305.09,0.78,120546.00,0.74,1351.42,Besni
92188,374.72,324.30,0.50,95920.00,0.75,1190.81,Besni
153824,536.61,369.29,0.73,159063.00,0.74,1582.15,Besni
85492,437.01,250.89,0.82,89018.00,0.72,1182.58,Besni
106312,464.33,295.32,0.77,111089.00,0.73,1306.46,Besni
210923,984.05,367.28,0.93,278217.00,0.51,2697.75,Besni
89138,507.14,226.22,0.90,93549.00,0.74,1262.58,Besni
83567,465.10,230.90,0.87,86859.00,0.61,1199.02,Besni
171256,531.37,412.38,0.63,174277.00,0.70,1559.21,Besni
77105,419.95,238.84,0.82,80497.00,0.67,1131.54,Besni
100443,457.57,283.61,0.78,104186.00,0.67,1269.07,Besni
72606,424.47,223.23,0.85,76975.00,0.68,1117.11,Besni
83555,457.55,235.10,0.86,86694.00,0.71,1159.78,Besni
146268,588.01,321.61,0.84,150416.00,0.70,1535.29,Besni
113608,559.27,264.03,0.88,118098.00,0.63,1394.09,Besni
75058,424.76,228.85,0.84,78952.00,0.69,1130.40,Besni
116406,612.67,251.83,0.91,125638.00,0.53,1480.95,Besni
100319,480.78,267.67,0.83,104255.00,0.64,1289.21,Besni
143386,469.28,397.31,0.53,146328.00,0.75,1422.01,Besni
164782,660.36,322.62,0.87,169000.00,0.76,1654.99,Besni
71639,400.41,231.62,0.82,76252.00,0.64,1101.88,Besni
141220,575.68,316.62,0.84,144300.00,0.66,1507.94,Besni
88290,514.44,221.44,0.90,92317.00,0.56,1277.39,Besni
102569,515.40,259.19,0.86,106888.00,0.57,1331.80,Besni
182160,997.29,271.87,0.96,221527.00,0.38,2303.69,Besni
208264,675.10,395.58,0.81,212813.00,0.77,1755.17,Besni
133101,641.51,265.31,0.91,136793.00,0.58,1544.71,Besni
169009,719.51,301.57,0.91,174718.00,0.72,1781.38,Besni
81901,450.83,237.21,0.85,85000.00,0.58,1192.01,Besni
80678,457.93,229.70,0.87,85201.00,0.61,1226.24,Besni
101661,440.98,295.53,0.74,105429.00,0.71,1268.05,Besni
82207,451.01,235.16,0.85,84780.00,0.63,1182.27,Besni
166275,602.31,356.24,0.81,168292.00,0.72,1580.96,Besni
188651,621.01,390.31,0.78,192922.00,0.75,1698.39,Besni
202118,684.60,379.72,0.83,209242.00,0.72,1827.90,Besni
97375,468.90,268.27,0.82,100169.00,0.69,1244.25,Besni
64303,442.75,187.03,0.91,67199.00,0.69,1081.68,Besni
86715,440.47,254.34,0.82,89920.00,0.74,1173.26,Besni
155702,655.40,304.61,0.89,160709.00,0.70,1626.91,Besni
84295,458.84,238.29,0.85,88521.00,0.71,1202.58,Besni
177206,699.62,328.11,0.88,181412.00,0.74,1754.38,Besni
110897,518.79,275.26,0.85,115550.00,0.73,1365.58,Besni
56903,360.82,204.04,0.82,59797.00,0.72,980.39,Besni
113029,558.52,265.28,0.88,116783.00,0.66,1419.58,Besni
69579,398.60,224.58,0.83,71648.00,0.72,1071.64,Besni
163442,594.76,351.43,0.81,167471.00,0.70,1621.96,Besni
114289,580.60,261.76,0.89,120657.00,0.65,1455.89,Besni
74652,424.98,231.60,0.84,79014.00,0.59,1157.11,Besni
90559,473.58,246.92,0.85,95477.00,0.67,1328.74,Besni
104352,562.34,239.40,0.90,107968.00,0.67,1390.73,Besni
82161,441.80,246.81,0.83,86909.00,0.63,1222.16,Besni
131816,532.73,322.68,0.80,138992.00,0.72,1488.84,Besni
163082,696.15,302.22,0.90,167442.00,0.76,1687.18,Besni
77012,425.22,239.47,0.83,81325.00,0.65,1131.53,Besni
81604,528.59,204.74,0.92,87172.00,0.49,1299.39,Besni
82853,430.11,251.18,0.81,85292.00,0.75,1139.84,Besni
145693,591.18,321.43,0.84,151644.00,0.65,1595.36,Besni
96443,541.20,232.55,0.90,101271.00,0.55,1352.48,Besni
168620,730.76,295.50,0.91,172003.00,0.80,1725.00,Besni
193032,661.15,376.43,0.82,197672.00,0.63,1744.27,Besni
140897,588.07,308.03,0.85,146231.00,0.73,1536.47,Besni
118988,483.34,315.25,0.76,122375.00,0.78,1356.40,Besni
103666,456.38,293.92,0.77,107992.00,0.65,1332.20,Besni
68231,394.65,228.16,0.82,71591.00,0.66,1099.23,Besni
88928,395.72,300.23,0.65,93821.00,0.67,1239.54,Besni
117077,496.13,314.55,0.77,123305.00,0.71,1419.16,Besni
123056,618.14,256.95,0.91,128101.00,0.64,1522.03,Besni
94455,496.90,245.24,0.87,97496.00,0.72,1256.32,Besni
89311,429.28,270.86,0.78,94720.00,0.68,1234.55,Besni
68982,400.74,223.91,0.83,73278.00,0.73,1105.79,Besni
204864,596.64,440.50,0.67,209457.00,0.75,1726.25,Besni
83693,437.73,245.42,0.83,87230.00,0.70,1177.86,Besni
75529,418.52,233.99,0.83,79168.00,0.66,1143.29,Besni
121034,518.72,305.74,0.81,125665.00,0.71,1418.30,Besni
105192,440.56,305.79,0.72,107313.00,0.74,1244.05,Besni
77402,469.46,215.08,0.89,80680.00,0.62,1162.00,Besni
87857,380.78,300.91,0.61,90968.00,0.73,1144.34,Besni
139399,522.47,348.28,0.75,144034.00,0.69,1471.51,Besni
178334,626.06,366.24,0.81,181715.00,0.79,1630.70,Besni
144084,555.92,332.12,0.80,149076.00,0.73,1506.26,Besni
84975,511.87,215.45,0.91,88730.00,0.63,1246.36,Besni
118043,493.77,308.00,0.78,122903.00,0.68,1394.10,Besni
102769,515.61,261.14,0.86,109161.00,0.65,1378.31,Besni
136960,559.30,313.31,0.83,139458.00,0.72,1458.55,Besni
113206,548.97,264.26,0.88,116787.00,0.73,1388.48,Besni
155057,610.68,325.51,0.85,159681.00,0.76,1564.69,Besni
116715,571.05,278.84,0.87,127342.00,0.60,1488.32,Besni
91146,498.39,241.90,0.87,97149.00,0.67,1293.56,Besni
101223,496.53,276.87,0.83,109593.00,0.71,1345.43,Besni
79492,422.57,243.12,0.82,82708.00,0.64,1122.83,Besni
93234,452.93,268.76,0.80,97428.00,0.72,1222.89,Besni
167279,690.07,312.00,0.89,171794.00,0.58,1680.12,Besni
193558,769.43,321.69,0.91,197851.00,0.61,1865.30,Besni
146175,592.91,319.02,0.84,149156.00,0.63,1529.07,Besni
108076,516.07,270.74,0.85,112975.00,0.70,1378.77,Besni
131811,573.54,295.42,0.86,135814.00,0.71,1457.02,Besni
129038,540.81,306.82,0.82,134796.00,0.65,1459.35,Besni
130868,613.17,273.18,0.90,134139.00,0.54,1513.35,Besni
206720,713.47,373.64,0.85,210114.00,0.78,1866.09,Besni
205497,632.73,414.19,0.76,209486.00,0.77,1736.84,Besni
146420,598.07,314.39,0.85,149403.00,0.75,1531.96,Besni
126014,523.19,309.12,0.81,130059.00,0.74,1396.91,Besni
101103,484.17,269.15,0.83,105500.00,0.67,1307.68,Besni
61444,371.69,213.18,0.82,64321.00,0.74,1006.98,Besni
160605,630.62,330.77,0.85,167411.00,0.72,1679.56,Besni
100649,433.37,300.46,0.72,103883.00,0.72,1257.03,Besni
112808,542.50,267.20,0.87,116961.00,0.74,1390.40,Besni
105951,521.11,267.73,0.86,111368.00,0.73,1377.25,Besni
177916,581.71,394.52,0.73,181352.00,0.74,1647.51,Besni
109254,483.16,289.83,0.80,111624.00,0.74,1293.23,Besni
128574,601.80,276.25,0.89,135975.00,0.67,1508.93,Besni
124166,525.95,304.16,0.82,126960.00,0.73,1388.68,Besni
133784,581.29,300.64,0.86,139806.00,0.68,1502.66,Besni
80481,481.06,217.56,0.89,85153.00,0.71,1219.11,Besni
63491,326.63,248.32,0.65,64892.00,0.73,950.30,Besni
109791,477.03,294.53,0.79,112766.00,0.74,1290.24,Besni
89236,389.68,295.33,0.65,92014.00,0.70,1144.04,Besni
152267,598.97,331.25,0.83,157353.00,0.59,1570.50,Besni
89721,530.16,223.50,0.91,95252.00,0.55,1295.38,Besni
129493,497.79,339.53,0.73,136555.00,0.65,1447.68,Besni
74966,465.36,209.28,0.89,78159.00,0.71,1157.09,Besni
136180,551.45,316.47,0.82,139701.00,0.73,1461.03,Besni
102013,453.89,292.13,0.77,106036.00,0.64,1266.26,Besni
169078,644.93,336.57,0.85,173362.00,0.68,1629.63,Besni
78304,390.97,262.77,0.74,82394.00,0.62,1137.71,Besni
54321,395.01,182.32,0.89,58632.00,0.63,1021.99,Besni
101439,524.82,251.16,0.88,107520.00,0.73,1393.21,Besni
118787,562.28,273.33,0.87,125083.00,0.64,1459.58,Besni
85517,410.62,269.82,0.75,88349.00,0.70,1127.89,Besni
72653,403.19,231.06,0.82,74718.00,0.66,1062.07,Besni
126515,595.34,277.91,0.88,134574.00,0.71,1461.11,Besni
117714,480.63,314.03,0.76,120922.00,0.72,1361.88,Besni
62451,337.29,237.71,0.71,64499.00,0.70,963.01,Besni
107895,462.05,300.56,0.76,110755.00,0.76,1277.79,Besni
199015,615.42,413.93,0.74,201464.00,0.77,1687.87,Besni
130388,511.90,326.31,0.77,132727.00,0.72,1393.97,Besni
106440,501.04,273.19,0.84,108790.00,0.75,1302.47,Besni
109878,541.95,260.08,0.88,112825.00,0.69,1369.20,Besni
78984,427.49,236.88,0.83,82328.00,0.70,1169.48,Besni
135899,625.35,286.90,0.89,144444.00,0.63,1594.21,Besni
193818,678.56,367.90,0.84,201241.00,0.79,1766.87,Besni
137788,654.47,272.30,0.91,141442.00,0.71,1562.27,Besni
71800,431.01,218.72,0.86,77521.00,0.65,1187.72,Besni
96210,482.51,262.67,0.84,102157.00,0.69,1270.56,Besni
103057,548.41,241.12,0.90,107983.00,0.72,1391.21,Besni
104602,478.22,279.36,0.81,106906.00,0.78,1263.01,Besni
105467,465.57,290.20,0.78,109052.00,0.73,1302.36,Besni
83059,440.56,243.64,0.83,88806.00,0.69,1238.16,Besni
99378,466.40,275.58,0.81,102653.00,0.69,1260.34,Besni
90585,489.65,239.35,0.87,95774.00,0.67,1270.27,Besni
83065,445.00,241.33,0.84,87785.00,0.72,1182.56,Besni
54357,362.59,192.95,0.85,56006.00,0.70,945.83,Besni
169645,731.56,299.41,0.91,174278.00,0.76,1753.02,Besni
70461,376.17,243.95,0.76,72819.00,0.73,1046.69,Besni
105347,476.80,282.03,0.81,108072.00,0.77,1266.88,Besni
160583,630.65,326.24,0.86,165385.00,0.75,1646.56,Besni
101772,477.91,273.40,0.82,104567.00,0.68,1266.66,Besni
61123,329.33,257.27,0.62,70556.00,0.72,1128.08,Besni
90375,480.63,241.02,0.87,93826.00,0.64,1251.68,Besni
131847,560.42,302.64,0.84,134950.00,0.74,1446.15,Besni
81998,423.63,251.24,0.81,83932.00,0.73,1130.43,Besni
105924,497.70,274.58,0.83,109179.00,0.72,1295.27,Besni
121757,486.52,323.35,0.75,125067.00,0.76,1357.89,Besni
116198,494.26,301.68,0.79,118786.00,0.72,1328.07,Besni
86846,459.40,242.62,0.85,89047.00,0.73,1173.31,Besni
77799,419.34,238.34,0.82,80688.00,0.65,1114.45,Besni
75242,391.68,248.09,0.77,77890.00,0.67,1077.42,Besni
113164,486.77,297.11,0.79,116531.00,0.74,1313.09,Besni
194864,657.87,378.06,0.82,197430.00,0.79,1700.94,Besni
103313,503.45,266.45,0.85,108615.00,0.67,1343.02,Besni
98464,488.22,261.72,0.84,101977.00,0.68,1259.07,Besni
97377,503.99,252.50,0.87,101317.00,0.71,1281.25,Besni
169880,648.90,339.13,0.85,177170.00,0.71,1660.68,Besni
69746,370.56,241.91,0.76,72724.00,0.71,1027.51,Besni
172334,595.82,375.02,0.78,174610.00,0.64,1591.89,Besni
192815,731.44,337.10,0.89,196576.00,0.73,1803.69,Besni
92121,432.06,275.69,0.77,95197.00,0.72,1193.84,Besni
82462,434.57,244.46,0.83,85611.00,0.65,1174.20,Besni
53325,351.20,197.21,0.83,56030.00,0.71,934.49,Besni
151703,595.11,330.34,0.83,156402.00,0.67,1608.60,Besni
40702,274.17,191.38,0.72,41924.00,0.72,771.80,Besni
81480,434.10,242.70,0.83,84581.00,0.67,1162.37,Besni
104669,546.67,248.53,0.89,110984.00,0.69,1398.55,Besni
85390,403.73,272.97,0.74,88615.00,0.71,1156.72,Besni
178692,594.72,384.04,0.76,181288.00,0.75,1622.03,Besni
104385,488.90,277.68,0.82,108197.00,0.77,1315.84,Besni
206689,746.15,355.30,0.88,212569.00,0.75,1876.03,Besni
98166,420.70,299.58,0.70,100659.00,0.71,1245.03,Besni
156769,662.97,307.87,0.89,161782.00,0.74,1646.53,Besni
182823,700.01,337.71,0.88,190749.00,0.70,1789.25,Besni
96139,498.39,250.11,0.86,100204.00,0.68,1298.14,Besni
99177,494.06,260.97,0.85,104468.00,0.61,1317.69,Besni
76114,435.39,224.73,0.86,77824.00,0.68,1100.93,Besni
111056,514.71,277.88,0.84,114995.00,0.67,1370.91,Besni
51350,342.66,204.01,0.80,54576.00,0.65,930.05,Besni
144973,614.81,304.33,0.87,150534.00,0.73,1539.43,Besni
182788,621.21,379.42,0.79,188848.00,0.73,1679.08,Besni
128442,585.98,281.60,0.88,133704.00,0.75,1499.36,Besni
76364,381.80,258.59,0.74,78977.00,0.75,1075.80,Besni
158808,658.96,308.53,0.88,162376.00,0.73,1624.34,Besni
106923,591.12,234.82,0.92,111428.00,0.52,1425.11,Besni
60640,369.27,218.53,0.81,66145.00,0.71,1036.53,Besni
88257,452.92,254.48,0.83,92886.00,0.74,1209.62,Besni
102868,430.03,312.97,0.69,106439.00,0.72,1251.80,Besni
61539,364.26,220.36,0.80,65462.00,0.72,1056.49,Besni
129292,614.55,270.09,0.90,133475.00,0.69,1531.74,Besni
57999,311.02,243.48,0.62,61519.00,0.66,968.70,Besni
88315,456.74,248.15,0.84,92046.00,0.64,1205.86,Besni
88250,478.48,238.32,0.87,92397.00,0.61,1217.13,Besni
141137,600.13,305.77,0.86,145158.00,0.59,1495.98,Besni
123980,531.87,332.58,0.78,138078.00,0.67,1539.94,Besni
49371,320.64,200.25,0.78,52692.00,0.68,921.06,Besni
172783,820.72,352.19,0.90,219952.00,0.50,2289.89,Besni
86852,456.48,248.61,0.84,90550.00,0.61,1207.53,Besni
91464,433.22,273.26,0.78,93852.00,0.72,1182.21,Besni
93441,396.79,300.81,0.65,95370.00,0.72,1157.77,Besni
94211,450.00,269.29,0.80,96340.00,0.72,1194.63,Besni
124630,585.09,275.49,0.88,128308.00,0.68,1485.99,Besni
116361,554.49,277.07,0.87,125132.00,0.75,1434.39,Besni
152992,572.71,341.25,0.80,155411.00,0.78,1500.25,Besni
147843,651.00,299.74,0.89,155494.00,0.72,1633.72,Besni
135036,582.69,301.57,0.86,139124.00,0.63,1509.37,Besni
128107,616.99,267.98,0.90,133001.00,0.62,1513.47,Besni
79975,439.31,240.49,0.84,83384.00,0.69,1162.61,Besni
60674,345.32,225.22,0.76,62614.00,0.74,987.62,Besni
96404,470.10,264.24,0.83,99678.00,0.75,1265.03,Besni
222915,731.56,389.95,0.85,227170.00,0.77,1876.31,Besni
108379,482.57,289.39,0.80,111707.00,0.70,1316.87,Besni
62562,407.94,198.71,0.87,64694.00,0.63,1030.76,Besni
204226,648.20,402.28,0.78,207198.00,0.77,1724.66,Besni
77985,473.34,214.09,0.89,82967.00,0.67,1214.98,Besni
104728,495.67,272.69,0.84,109157.00,0.73,1316.40,Besni
85449,471.12,238.33,0.86,89794.00,0.58,1246.20,Besni
97558,477.11,261.92,0.84,100259.00,0.78,1229.81,Besni
97049,548.22,231.66,0.91,102899.00,0.62,1399.67,Besni
58870,355.14,212.03,0.80,60490.00,0.73,940.36,Besni
83889,450.99,241.33,0.84,88842.00,0.73,1183.98,Besni
110527,514.59,275.58,0.84,114538.00,0.69,1360.82,Besni
66793,362.23,236.40,0.76,69506.00,0.68,1024.17,Besni
91665,485.45,243.08,0.87,95741.00,0.70,1244.56,Besni
126149,478.88,345.92,0.69,134778.00,0.62,1549.19,Besni
101618,443.49,293.38,0.75,104508.00,0.75,1238.63,Besni
96442,450.41,276.92,0.79,100712.00,0.70,1239.31,Besni
79397,434.99,235.52,0.84,83074.00,0.70,1148.63,Besni
86658,439.23,258.30,0.81,89048.00,0.70,1184.58,Besni
113046,548.94,265.31,0.88,116819.00,0.68,1385.65,Besni
53373,330.68,215.70,0.76,56639.00,0.65,936.82,Besni
80274,404.30,256.06,0.77,84523.00,0.66,1153.62,Besni
89431,464.83,247.35,0.85,92412.00,0.62,1198.85,Besni
84383,403.91,271.25,0.74,87629.00,0.67,1140.61,Besni
98260,520.10,245.21,0.88,103918.00,0.58,1345.69,Besni
104656,489.45,273.45,0.83,106961.00,0.74,1273.13,Besni
100186,462.51,277.70,0.80,101921.00,0.68,1217.83,Besni
122617,503.69,322.62,0.77,131499.00,0.64,1429.35,Besni
117301,507.24,296.83,0.81,122361.00,0.62,1407.40,Besni
48007,302.61,209.12,0.72,50679.00,0.68,889.74,Besni
165681,615.21,346.70,0.83,170954.00,0.74,1635.79,Besni
83929,429.09,252.04,0.81,87269.00,0.70,1176.23,Besni
109701,546.64,256.61,0.88,113425.00,0.58,1405.87,Besni
117098,637.77,237.47,0.93,120417.00,0.65,1484.33,Besni
107082,536.85,258.72,0.88,112201.00,0.73,1354.72,Besni
102944,477.17,277.22,0.81,108053.00,0.72,1339.10,Besni
53077,327.29,212.23,0.76,55532.00,0.65,934.71,Besni
78161,453.20,222.61,0.87,81689.00,0.73,1161.29,Besni
122433,585.29,270.71,0.89,128445.00,0.58,1526.71,Besni
142069,662.71,275.44,0.91,148697.00,0.73,1622.58,Besni
82585,436.18,264.87,0.79,93928.00,0.59,1320.46,Besni
96753,477.50,261.94,0.84,99964.00,0.69,1258.68,Besni
106393,472.31,287.59,0.79,109501.00,0.68,1281.38,Besni
182122,620.49,376.49,0.79,187560.00,0.72,1695.23,Besni
49691,336.68,189.26,0.83,52077.00,0.72,919.42,Besni
79057,436.39,236.90,0.84,82642.00,0.65,1148.15,Besni
110785,560.01,259.40,0.89,116070.00,0.56,1456.76,Besni
171749,671.25,328.91,0.87,175679.00,0.74,1689.59,Besni
149841,547.46,354.58,0.76,155682.00,0.71,1544.34,Besni
97513,486.90,257.27,0.85,100196.00,0.69,1272.88,Besni
97254,422.04,305.88,0.69,100815.00,0.63,1254.47,Besni
132116,519.68,325.33,0.78,133811.00,0.75,1393.34,Besni
132730,535.98,324.96,0.80,139810.00,0.69,1475.66,Besni
68576,377.14,235.13,0.78,71551.00,0.72,1087.11,Besni
109011,504.40,277.03,0.84,111306.00,0.62,1297.15,Besni
109438,502.73,280.34,0.83,113476.00,0.64,1323.56,Besni
76551,394.44,255.25,0.76,81613.00,0.63,1130.41,Besni
121080,573.40,270.63,0.88,124432.00,0.72,1418.39,Besni
86202,437.77,253.91,0.81,90825.00,0.71,1199.81,Besni
134913,639.60,273.09,0.90,139500.00,0.74,1535.25,Besni
175247,713.02,316.40,0.90,179961.00,0.59,1739.28,Besni
195281,609.83,408.54,0.74,197426.00,0.77,1639.10,Besni
131496,506.12,334.33,0.75,134210.00,0.71,1412.02,Besni
175946,604.53,372.85,0.79,180289.00,0.78,1622.81,Besni
66265,424.56,203.38,0.88,70487.00,0.63,1126.77,Besni
106938,498.43,274.59,0.83,110118.00,0.77,1285.85,Besni
76624,473.97,207.74,0.90,80356.00,0.66,1205.82,Besni
88747,425.01,268.67,0.77,92317.00,0.76,1184.16,Besni
165940,624.84,340.70,0.84,170781.00,0.78,1641.14,Besni
181926,579.92,400.80,0.72,185474.00,0.72,1628.16,Besni
148073,599.36,327.08,0.84,152985.00,0.69,1557.61,Besni
103915,516.49,260.11,0.86,106499.00,0.69,1285.06,Besni
71141,417.14,219.19,0.85,73629.00,0.73,1085.22,Besni
169494,614.99,352.28,0.82,172094.00,0.74,1607.53,Besni
47253,360.02,172.51,0.88,51538.00,0.71,940.54,Besni
102960,522.38,252.37,0.88,105956.00,0.74,1311.16,Besni
81570,450.48,233.61,0.86,84540.00,0.73,1162.26,Besni
62526,357.21,228.86,0.77,65994.00,0.71,1006.60,Besni
141613,588.37,311.30,0.85,149492.00,0.72,1521.81,Besni
105961,497.70,275.97,0.83,109992.00,0.70,1347.99,Besni
125282,536.50,299.44,0.83,129758.00,0.74,1404.30,Besni
87252,433.48,261.07,0.80,90160.00,0.74,1166.52,Besni
108771,472.21,294.45,0.78,111241.00,0.77,1267.65,Besni
138202,556.98,318.25,0.82,143228.00,0.70,1576.34,Besni
92024,453.72,260.49,0.82,94643.00,0.75,1204.62,Besni
76708,458.04,216.34,0.88,78694.00,0.66,1135.68,Besni
105053,490.41,277.08,0.83,107939.00,0.67,1297.28,Besni
72924,434.22,220.49,0.86,77356.00,0.62,1183.24,Besni
89169,408.19,281.40,0.72,93087.00,0.71,1187.09,Besni
93042,470.57,254.26,0.84,95156.00,0.63,1216.10,Besni
71054,364.75,249.72,0.73,72956.00,0.73,1027.21,Besni
90675,426.24,275.29,0.76,92030.00,0.74,1163.02,Besni
137921,598.76,297.20,0.87,142159.00,0.75,1510.85,Besni
164440,580.78,362.35,0.78,167563.00,0.77,1554.37,Besni
71502,490.43,189.44,0.92,75157.00,0.50,1182.85,Besni
144250,606.35,305.33,0.86,148528.00,0.80,1547.08,Besni
223075,694.25,411.81,0.81,225916.00,0.76,1812.57,Besni
56244,398.80,182.84,0.89,58530.00,0.66,1008.13,Besni
142239,614.83,297.74,0.87,148078.00,0.64,1553.11,Besni
78632,407.94,245.82,0.80,79715.00,0.69,1068.73,Besni
93430,467.64,258.95,0.83,98337.00,0.71,1258.97,Besni
97583,522.79,241.94,0.89,101231.00,0.73,1298.73,Besni
123654,542.42,293.47,0.84,126325.00,0.66,1400.52,Besni
85894,477.17,231.04,0.87,89369.00,0.73,1202.49,Besni
235047,772.96,388.20,0.86,239093.00,0.71,1942.05,Besni
152611,663.13,297.42,0.89,158488.00,0.61,1755.97,Besni
83932,499.24,224.47,0.89,88572.00,0.67,1258.06,Besni
117354,520.33,289.66,0.83,121057.00,0.71,1374.17,Besni
66315,363.58,234.45,0.76,68906.00,0.69,1015.02,Besni
87663,405.68,277.45,0.73,89710.00,0.74,1126.52,Besni
95364,481.56,253.85,0.85,97623.00,0.74,1225.35,Besni
78787,450.26,228.91,0.86,80567.00,0.68,1142.63,Besni
160451,593.75,346.76,0.81,163523.00,0.79,1548.61,Besni
121077,521.19,302.11,0.81,125856.00,0.73,1403.04,Besni
62280,388.58,205.51,0.85,63596.00,0.79,977.91,Besni
106897,481.79,288.66,0.80,109314.00,0.72,1284.69,Besni
